,Date to Expired,Date,S50U21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
16,16,2021-09-06,995.4,1000,10.2,15.2,25.4,3.2,5.8,9.0,1000.94,1002.92,994.38,997.45,0.1878573343199623
17,17,2021-09-03,998.8,1000,12.9,14.1,27.0,4.8,5.6,10.399999999999999,1002.94,1005.67,995.68,1000.64,0.18795303235674723
18,18,2021-09-02,995.5,1000,11.0,15.4,26.4,4.4,6.6,11.0,987.99,1002.16,986.43,998.81,0.18798004415906297
19,19,2021-09-01,985.7,975,20.0,9.5,29.5,8.1,4.4,12.5,994.57,997.23,984.22,988.2,0.18854510063010574
20,20,2021-08-31,984.8,975,20.0,10.3,30.3,8.6,4.8,13.399999999999999,985.48,995.78,982.19,992.13,0.18895317737385048
21,21,2021-08-30,983.9,975,20.3,11.3,31.6,8.8,4.9,13.700000000000001,978.82,989.24,978.18,987.31,0.18945244840216321
22,22,2021-08-27,966.3,975,10.9,19.6,30.5,4.0,9.2,13.2,965.17,974.49,962.91,972.16,0.18890376909033746
23,23,2021-08-26,960.0,950,19.8,9.9,29.700000000000003,7.4,4.6,12.0,965.5,966.91,961.05,964.79,0.1889741392923314
24,24,2021-08-25,960.9,950,20.7,9.4,30.1,7.5,4.6,12.1,959.19,966.03,956.75,965.45,0.18898253402513174
25,25,2021-08-24,953.8,950,15.4,12.0,27.4,6.1,5.9,12.0,959.28,966.08,955.41,956.78,0.1888685793705275
26,26,2021-08-23,949.2,950,14.4,14.8,29.200000000000003,5.9,6.9,12.8,941.35,954.99,941.05,954.17,0.18904639793644104
27,27,2021-08-20,924.9,925,15.8,15.8,31.6,6.7,7.8,14.5,931.05,933.88,927.53,932.27,0.18806625185379422
28,28,2021-08-19,920.9,925,14.8,19.2,34.0,6.3,9.8,16.1,929.68,934.23,926.58,927.09,0.18825954803840222
29,29,2021-08-18,926.1,925,18.0,16.1,34.1,7.7,8.0,15.7,931.0,938.01,929.4,933.97,0.18920262909485405
30,30,2021-08-17,924.2,925,17.2,17.8,35.0,7.8,9.5,17.3,926.16,931.35,922.09,929.61,0.18921545751655816
31,31,2021-08-16,917.7,925,14.5,21.5,36.0,6.2,11.1,17.3,917.83,924.25,910.33,922.42,0.18986538063950786
32,32,2021-08-13,913.1,925,12.5,25.0,37.5,5.7,13.5,19.2,915.21,922.92,913.74,917.54,0.1897986685248189
33,33,2021-08-11,910.7,900,24.5,14.1,38.6,12.0,7.9,19.9,927.17,928.68,916.48,917.24,0.1905184967720389
34,34,2021-08-10,913.5,925,13.4,25.1,38.5,6.4,13.7,20.1,923.79,928.22,920.08,922.27,0.19108513183387876
35,35,2021-08-09,914.7,925,14.8,25.0,39.8,6.9,14.0,20.9,912.95,924.09,910.17,921.51,0.19109946638725708
36,36,2021-08-06,900.4,900,20.6,20.0,40.6,10.2,12.0,22.2,912.84,918.52,903.57,908.5,0.19083672041164154
37,37,2021-08-05,907.2,900,24.0,16.7,40.7,12.4,10.0,22.4,924.15,926.13,911.0,911.53,0.1909228292338198
38,38,2021-08-04,918.9,925,17.0,23.6,40.6,8.8,13.6,22.4,922.65,928.18,916.8,925.63,0.19060828118336245
39,39,2021-08-03,914.6,925,15.7,26.2,41.9,7.9,15.5,23.4,914.46,922.36,913.27,922.36,0.19057921046305856
40,40,2021-08-02,910.0,900,27.0,17.2,44.2,14.5,11.0,25.5,912.78,914.33,905.46,914.26,0.19055709152924094
41,41,2021-07-30,906.1,900,25.0,18.9,43.9,13.5,11.8,25.3,917.78,919.49,908.2,910.61,0.19119123209097577
42,42,2021-07-29,914.9,925,16.2,26.1,42.3,8.3,15.9,24.200000000000003,920.52,923.04,914.37,919.34,0.19095511877419555
43,43,2021-07-27,911.0,900,28.5,17.9,46.4,15.6,11.0,26.6,924.08,927.02,912.62,917.72,0.19123883627199265
44,44,2021-07-23,917.5,925,17.9,25.2,43.099999999999994,9.2,15.8,25.0,927.16,928.97,920.15,923.24,0.19114402413488957
45,45,2021-07-22,923.8,925,21.4,22.5,43.9,11.3,13.7,25.0,928.54,930.73,924.98,929.3,0.1910748067207955
46,46,2021-07-21,916.3,925,18.6,27.2,45.8,10.0,16.6,26.6,922.18,924.22,915.92,922.25,0.19219209669837897
47,47,2021-07-20,914.6,925,18.9,29.0,47.9,10.0,17.9,27.9,926.92,927.86,915.68,920.4,0.1923460552301472
48,48,2021-07-19,922.3,925,21.0,23.4,44.4,11.4,14.7,26.1,932.69,935.63,927.19,930.44,0.19216280096478933
49,49,2021-07-16,935.2,925,27.3,17.5,44.8,14.7,10.8,25.5,939.33,943.71,937.45,942.35,0.1917228535788111
50,50,2021-07-15,934.9,925,27.9,18.2,46.099999999999994,15.5,11.4,26.9,944.05,948.17,940.61,942.55,0.1917615411692876
51,51,2021-07-14,936.1,925,29.1,18.4,47.5,16.5,11.5,28.0,943.5,945.17,936.74,940.68,0.19185616796247293
52,52,2021-07-13,937.3,925,30.1,18.5,48.6,17.0,11.5,28.5,937.27,945.92,935.54,944.31,0.19280473848401034
53,53,2021-07-12,926.0,925,24.3,24.1,48.400000000000006,14.0,14.8,28.8,937.99,939.96,928.96,932.24,0.19241972190125212
54,54,2021-07-09,929.9,925,27.5,22.4,49.9,15.9,13.8,29.700000000000003,927.6,938.34,925.8,934.18,0.19302503450338732
55,55,2021-07-08,925.3,925,24.6,24.3,48.900000000000006,14.1,14.8,28.9,940.33,942.61,927.15,929.76,0.192998196557396
56,56,2021-07-07,941.4,950,18.5,27.3,45.8,9.8,16.2,26.0,951.5,954.39,945.96,948.23,0.1920267822753725
57,57,2021-07-06,949.2,950,22.0,23.0,45.0,12.1,13.1,25.2,955.26,960.0,954.4,956.78,0.19188071977165752
58,58,2021-07-05,944.8,950,20.8,26.0,46.8,11.3,15.9,27.200000000000003,950.72,951.93,945.73,950.33,0.19297382687239936
59,59,2021-07-02,943.5,950,20.1,26.7,46.8,10.7,16.0,26.7,954.76,958.89,945.86,949.27,0.19594370247880788
60,60,2021-07-01,951.1,950,24.7,23.1,47.8,13.5,14.3,27.8,955.95,960.45,951.61,957.36,0.19617859741484794
61,61,2021-06-30,947.5,950,22.4,26.0,48.4,12.6,15.9,28.5,960.77,963.16,950.64,953.72,0.19705051268708404
62,62,2021-06-29,952.9,950,26.4,24.7,51.099999999999994,15.8,15.6,31.4,951.36,961.14,950.5,957.39,0.19720832190351376
63,63,2021-06-28,946.7,950,23.2,27.1,50.3,14.6,17.0,31.6,949.09,953.05,943.86,950.26,0.19859897394992124
64,64,2021-06-25,951.2,950,25.5,24.8,50.3,16.2,16.2,32.4,959.99,962.24,951.46,954.78,0.19854341229418843
65,65,2021-06-24,952.7,950,27.0,24.3,51.3,18.0,15.3,33.3,955.45,957.11,946.69,956.14,0.1994994751909345
66,66,2021-06-23,954.9,950,28.9,24.0,52.9,17.8,14.6,32.4,966.2,967.21,957.89,959.0,0.2016606649185379
67,67,2021-06-22,956.6,950,28.1,23.1,51.2,17.8,15.0,32.8,968.74,970.42,961.52,961.99,0.20254146236415674
68,68,2021-06-21,956.8,950,30.0,23.5,53.5,18.6,14.4,33.0,961.21,964.32,956.76,962.99,0.20262001766377494
69,69,2021-06-18,967.3,975,22.6,30.5,53.1,14.2,20.0,34.2,974.78,976.97,965.61,971.19,0.20257572759858525
