Date,Open,High,Low,Close
2019-07-11,1155.86,1157.57,1148.28,1150.20
2019-07-12,1153.51,1154.76,1140.54,1143.08
2019-07-15,1144.34,1149.35,1140.69,1142.60
2019-07-17,1140.72,1144.84,1137.97,1138.76
2019-07-18,1135.95,1142.74,1135.51,1140.37
2019-07-19,1149.21,1150.79,1145.27,1147.90
2019-07-22,1145.21,1147.59,1137.71,1140.67
2019-07-23,1143.01,1144.44,1135.51,1139.56
2019-07-24,1141.43,1143.30,1134.60,1138.31
2019-07-25,1139.65,1143.38,1137.59,1141.45
2019-07-26,1139.82,1140.47,1129.02,1131.41
2019-07-30,1132.37,1135.14,1124.38,1126.43
2019-07-31,1124.85,1134.54,1123.89,1130.92
2019-08-01,1126.28,1128.70,1120.73,1124.54
2019-08-02,1110.65,1115.31,1103.58,1113.17
2019-08-05,1105.37,1111.18,1097.85,1098.46
2019-08-06,1089.84,1105.45,1086.45,1102.31
2019-08-07,1103.29,1110.41,1098.14,1100.80
2019-08-08,1101.40,1103.29,1092.76,1096.27
2019-08-09,1101.82,1104.56,1086.32,1087.14
2019-08-13,1081.21,1082.92,1064.44,1065.58
2019-08-14,1076.52,1081.74,1059.91,1065.92
2019-08-15,1055.51,1065.21,1046.62,1056.32
2019-08-16,1059.72,1077.62,1056.89,1075.84
2019-08-19,1081.66,1084.91,1076.71,1079.75
2019-08-20,1083.71,1084.26,1067.35,1070.23
2019-08-21,1072.95,1084.69,1068.52,1080.46
2019-08-22,1071.78,1080.68,1070.94,1077.88
2019-08-23,1081.42,1088.90,1079.87,1088.69
2019-08-26,1069.03,1073.10,1060.50,1071.74
2019-08-27,1072.86,1077.08,1062.02,1065.29
2019-08-28,1068.05,1071.99,1064.53,1066.21
2019-08-29,1069.89,1083.57,1068.52,1083.32
2019-08-30,1089.45,1096.47,1085.56,1096.47
2019-09-02,1092.95,1099.18,1088.88,1095.04
2019-09-03,1097.42,1099.63,1085.80,1085.80
2019-09-04,1092.64,1104.83,1089.86,1099.93
2019-09-05,1109.50,1112.00,1103.70,1108.91
2019-09-06,1114.82,1116.11,1106.88,1109.20
2019-09-09,1111.17,1114.24,1106.01,1110.57
2019-09-10,1114.05,1115.85,1104.27,1107.41
2019-09-11,1110.44,1115.91,1104.78,1115.39
2019-09-12,1118.36,1118.99,1102.25,1103.91
2019-09-13,1106.12,1107.85,1098.89,1103.67
2019-09-16,1107.85,1109.68,1101.18,1106.03
2019-09-17,1104.87,1113.26,1103.19,1107.82
2019-09-18,1107.30,1108.43,1097.22,1100.54
2019-09-19,1102.35,1106.01,1087.93,1090.34
2019-09-20,1090.31,1093.41,1080.92,1089.04
2019-09-23,1088.04,1088.74,1077.05,1078.65
2019-09-24,1079.08,1087.73,1078.29,1084.56
2019-09-25,1079.40,1084.22,1077.05,1081.53
2019-09-26,1086.04,1089.88,1083.09,1088.50
2019-09-27,1088.01,1099.45,1083.30,1094.73
2019-09-30,1093.95,1096.00,1086.86,1090.31
2019-10-01,1090.54,1091.90,1079.20,1080.07
2019-10-02,1075.27,1076.60,1068.03,1072.27
2019-10-03,1066.55,1074.10,1065.55,1070.62
2019-10-04,1072.57,1074.11,1065.65,1067.75
2019-10-07,1072.78,1076.66,1069.14,1074.00
2019-10-08,1079.41,1081.86,1070.10,1071.95
2019-10-09,1071.29,1078.10,1066.68,1076.56
2019-10-10,1073.96,1075.22,1067.46,1067.54
2019-10-11,1073.15,1085.12,1072.81,1083.77
2019-10-15,1087.31,1089.67,1080.62,1085.38
2019-10-16,1087.84,1093.41,1086.72,1091.29
2019-10-17,1095.38,1096.38,1087.74,1090.67
2019-10-18,1091.65,1094.74,1083.01,1089.28
2019-10-21,1088.23,1089.41,1079.80,1081.38
2019-10-22,1084.66,1090.19,1084.06,1089.35
2019-10-24,1093.33,1094.66,1080.29,1083.43
2019-10-25,1083.17,1085.02,1065.08,1066.34
2019-10-28,1066.17,1073.49,1057.94,1070.68
2019-10-29,1074.50,1077.29,1064.36,1066.48
2019-10-30,1069.02,1075.91,1064.61,1075.91
2019-10-31,1079.82,1081.76,1072.74,1073.26
2019-11-01,1072.65,1075.43,1065.93,1068.71
2019-11-04,1076.72,1095.29,1075.76,1092.58
2019-11-05,1097.78,1098.66,1089.13,1096.79
2019-11-06,1096.32,1099.82,1091.50,1093.50
2019-11-07,1092.68,1106.64,1089.14,1106.15
2019-11-08,1105.85,1107.13,1100.39,1103.55
2019-11-11,1098.91,1100.60,1089.82,1092.69
2019-11-12,1095.28,1101.81,1092.64,1095.68
2019-11-13,1091.90,1097.07,1084.58,1088.37
2019-11-14,1089.47,1092.62,1081.89,1085.44
2019-11-15,1088.21,1089.77,1076.17,1081.78
2019-11-18,1084.34,1088.15,1077.73,1085.81
2019-11-19,1083.42,1086.89,1078.58,1084.27
2019-11-20,1077.33,1080.51,1074.20,1075.77
2019-11-21,1074.03,1075.35,1066.41,1073.10
2019-11-22,1075.47,1079.03,1071.86,1077.51
2019-11-25,1081.87,1089.67,1079.97,1089.67
2019-11-26,1092.29,1094.05,1082.99,1083.70
2019-11-27,1085.52,1087.82,1081.31,1084.13
2019-11-28,1083.92,1085.02,1074.97,1077.30
2019-11-29,1073.66,1073.93,1062.23,1070.23
2019-12-02,1068.96,1069.60,1051.89,1054.88
2019-12-03,1049.45,1058.44,1048.25,1054.28
2019-12-04,1049.74,1056.88,1045.39,1053.40
2019-12-06,1057.54,1061.04,1047.89,1048.76
2019-12-09,1049.48,1049.56,1041.28,1047.02
2019-12-11,1049.20,1052.84,1043.54,1048.85
2019-12-12,1054.20,1062.31,1051.95,1057.87
2019-12-13,1069.18,1072.76,1062.63,1066.63
2019-12-16,1065.46,1066.21,1048.08,1048.08
2019-12-17,1049.57,1054.45,1043.16,1049.84
2019-12-18,1055.62,1064.39,1054.99,1062.62
2019-12-19,1057.78,1071.73,1052.51,1068.39
2019-12-20,1067.24,1070.42,1061.71,1067.62
2019-12-23,1069.11,1075.29,1067.13,1069.53
2019-12-24,1070.38,1071.83,1063.74,1065.23
2019-12-25,1062.79,1069.60,1061.32,1067.99
2019-12-26,1068.57,1071.84,1066.53,1070.74
2019-12-27,1074.67,1077.51,1059.21,1068.72
2019-12-30,1071.21,1072.95,1066.34,1068.50
2020-01-02,1072.36,1083.41,1071.16,1081.00
2020-01-03,1081.12,1086.71,1077.32,1079.50
2020-01-06,1072.49,1074.50,1061.17,1063.83
2020-01-07,1071.20,1075.20,1062.78,1075.07
2020-01-08,1063.94,1066.77,1054.24,1057.19
2020-01-09,1066.38,1073.19,1061.88,1071.15
2020-01-10,1073.46,1074.07,1065.68,1071.03
2020-01-13,1075.44,1077.54,1068.69,1074.25
2020-01-14,1076.57,1078.39,1067.77,1074.04
2020-01-15,1069.78,1073.38,1063.70,1067.66
2020-01-16,1068.58,1080.94,1067.44,1078.87
2020-01-17,1081.83,1084.23,1078.16,1081.22
2020-01-20,1077.28,1078.48,1069.72,1071.80
2020-01-21,1066.66,1070.09,1060.49,1062.26
2020-01-22,1066.02,1066.97,1056.99,1063.33
2020-01-23,1060.05,1066.01,1056.94,1062.84
2020-01-24,1064.02,1064.79,1057.64,1059.82
2020-01-27,1041.33,1042.98,1019.61,1024.53
2020-01-28,1020.87,1032.90,1011.96,1016.90
2020-01-29,1024.56,1029.63,1015.42,1026.58
2020-01-30,1019.45,1026.74,1018.41,1024.76
2020-01-31,1028.78,1031.37,1018.03,1018.08
2020-02-03,1013.10,1018.89,1005.59,1005.79
2020-02-04,1009.86,1024.88,1007.70,1023.89
2020-02-05,1024.78,1034.35,1020.48,1032.89
2020-02-06,1035.92,1038.72,1028.72,1032.07
2020-02-07,1032.15,1034.30,1024.64,1030.90
