,Date to Expired,Date,S50H22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
99,99,2021-11-04,974.8,975,32.9,31.5,64.4,19.0,21.5,40.5,973.63,981.7,968.95,980.11,0.17983857311819268
100,100,2021-11-03,967.6,975,28.1,35.9,64.0,15.8,26.0,41.8,976.72,978.8,969.53,972.64,0.17988884945506176
101,101,2021-11-02,967.4,975,30.0,34.8,64.8,16.4,24.7,41.099999999999994,972.65,977.17,967.65,975.13,0.18066729392540548
102,102,2021-11-01,966.7,975,28.5,30.9,59.4,16.9,25.4,42.3,978.17,982.54,967.92,970.42,0.1810909967188214
103,103,2021-10-29,970.4,975,31.5,35.9,67.4,18.4,25.0,43.4,977.62,979.99,972.47,974.67,0.18106173742240253
104,104,2021-10-28,970.6,975,34.0,34.9,68.9,20.4,24.0,44.4,976.35,981.46,973.49,976.67,0.1811383471432527
105,105,2021-10-27,971.4,975,32.8,33.9,66.69999999999999,20.1,24.0,44.1,980.9,982.9,976.53,977.32,0.18133789447296655
106,106,2021-10-26,979.2,975,35.4,31.3,66.7,23.0,22.0,45.0,983.08,985.79,976.85,984.04,0.18154194675672036
107,107,2021-10-25,975.7,975,28.4,32.7,61.1,23.0,23.9,46.9,989.95,990.85,979.45,982.81,0.18165868548529154
108,108,2021-10-21,983.4,975,38.1,32.9,71.0,24.9,22.9,47.8,990.66,991.66,985.73,988.81,0.18158733490079718
109,109,2021-10-20,978.5,975,37.1,33.5,70.6,23.9,23.4,47.3,984.09,987.42,982.6,985.86,0.18216439034968723
110,110,2021-10-19,977.2,975,29.1,33.4,62.5,22.9,24.0,46.9,994.39,995.31,978.97,982.02,0.18231462888884348
111,111,2021-10-18,985.8,975,41.2,24.4,65.6,27.0,14.6,41.6,989.77,994.6,987.62,991.07,0.18317694928736247
112,112,2021-10-15,981.6,975,32.3,34.5,66.8,26.0,24.5,50.5,990.72,994.78,984.39,987.44,0.1833240649619418
113,113,2021-10-14,982.5,975,40.4,35.2,75.6,21.6,26.5,48.1,992.31,993.09,984.18,987.28,0.18433841964252592
114,114,2021-10-12,982.7,975,40.1,32.6,72.7,28.0,26.0,54.0,990.4,992.3,984.89,989.66,0.18432427888733824
115,115,2021-10-11,976.4,975,30.9,36.6,67.5,24.8,27.5,52.3,988.75,991.44,979.85,982.45,0.18528067954471264
116,116,2021-10-08,978.3,975,33.1,29.6,62.7,22.2,27.0,49.2,987.97,989.92,982.65,985.71,0.18544953275459733
117,117,2021-10-07,974.7,975,31.6,31.8,63.400000000000006,25.0,27.7,52.7,977.83,985.78,975.52,982.1,0.18566331575878678
118,118,2021-10-06,961.8,950,39.8,23.7,63.5,27.2,25.0,52.2,980.05,982.33,971.54,973.25,0.18601223558293448
119,119,2021-10-05,970.0,975,30.2,33.7,63.900000000000006,22.0,31.0,53.0,969.26,980.85,968.44,978.86,0.1859028963427292
120,120,2021-10-04,962.6,975,31.5,41.7,73.2,19.5,25.0,44.5,968.74,975.23,968.06,971.22,0.18599918066309534
121,121,2021-10-01,956.0,950,42.5,37.7,80.2,,,,960.35,968.09,956.65,964.99,0.1860052591966731
