,Date to Expired,Date,S50Z21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
30,30,2021-11-15,983.3,975.0,21.0,12.7,33.7,9.0,5.8,14.8,981.27,986.79,980.98,984.06,0.17831092538071397
31,31,2021-11-12,980.4,975.0,19.8,14.3,34.1,8.6,6.6,15.2,982.83,985.04,978.86,979.59,0.17833542769371294
32,32,2021-11-11,979.1,975.0,19.3,15.0,34.3,8.6,7.2,15.8,978.04,981.93,975.93,979.88,0.17833062466058727
33,33,2021-11-10,977.2,975.0,18.6,16.6,35.2,8.4,8.3,16.700000000000003,977.1,981.85,975.13,979.27,0.17848258400397154
34,34,2021-11-09,979.0,975.0,20.7,16.5,37.2,9.5,8.4,17.9,980.38,983.65,977.14,980.53,0.17851662031783883
35,35,2021-11-08,978.2,975.0,20.8,17.5,38.3,9.7,9.1,18.799999999999997,983.65,986.82,976.63,980.22,0.1785790015955227
36,36,2021-11-05,978.6,975.0,21.1,17.5,38.6,9.8,9.1,18.9,980.78,982.59,975.83,980.03,0.17858195638741356
37,37,2021-11-04,978.9,975.0,21.8,17.5,39.3,10.3,9.1,19.4,973.63,981.7,968.95,980.11,0.17983857311819268
38,38,2021-11-03,971.9,975.0,18.1,21.2,39.3,8.7,11.6,20.299999999999997,976.72,978.8,969.53,972.64,0.17988884945506176
39,39,2021-11-02,971.5,975.0,18.1,21.5,39.6,8.8,11.6,20.4,972.65,977.17,967.65,975.13,0.18066729392540548
40,40,2021-11-01,970.8,975.0,18.0,22.5,40.5,8.6,12.5,21.1,978.17,982.54,967.92,970.42,0.1810909967188214
41,41,2021-10-29,974.7,975.0,20.1,20.3,40.400000000000006,9.9,11.2,21.1,977.62,979.99,972.47,974.67,0.18106173742240253
42,42,2021-10-28,975.0,975.0,20.0,19.8,39.8,9.9,11.0,20.9,976.35,981.46,973.49,976.67,0.1811383471432527
43,43,2021-10-27,975.9,975.0,20.6,20.0,40.6,10.0,10.8,20.8,980.9,982.9,976.53,977.32,0.18133789447296655
44,44,2021-10-26,984.0,975.0,25.6,16.9,42.5,12.9,9.0,21.9,983.08,985.79,976.85,984.04,0.18154194675672036
45,45,2021-10-25,980.2,975.0,24.5,19.7,44.2,12.8,10.7,23.5,989.95,990.85,979.45,982.81,0.18165868548529154
46,46,2021-10-21,988.2,1000.0,16.3,27.6,43.900000000000006,8.0,16.8,24.8,990.66,991.66,985.73,988.81,0.18158733490079718
47,47,2021-10-20,983.3,975.0,27.5,19.2,46.7,15.0,11.1,26.1,984.09,987.42,982.6,985.86,0.18216439034968723
48,48,2021-10-19,981.8,975.0,26.9,20.7,47.599999999999994,14.8,12.3,27.1,994.39,995.31,978.97,982.02,0.18231462888884348
49,49,2021-10-18,990.9,1000.0,19.1,27.9,47.0,10.5,17.0,27.5,989.77,994.6,987.62,991.07,0.18317694928736247
50,50,2021-10-15,986.5,975.0,30.5,18.9,49.4,17.7,10.9,28.6,990.72,994.78,984.39,987.44,0.1833240649619418
51,51,2021-10-14,987.4,975.0,31.6,19.1,50.7,18.5,11.0,29.5,992.31,993.09,984.18,987.28,0.18433841964252592
52,52,2021-10-12,987.4,975.0,32.0,19.6,51.6,18.9,11.7,30.599999999999998,990.4,992.3,984.89,989.66,0.18432427888733824
53,53,2021-10-11,981.2,975.0,28.8,23.0,51.8,17.2,13.7,30.9,988.75,991.44,979.85,982.45,0.18528067954471264
54,54,2021-10-08,983.2,975.0,30.4,22.4,52.8,18.2,13.8,32.0,987.97,989.92,982.65,985.71,0.18544953275459733
55,55,2021-10-07,979.7,975.0,28.7,24.0,52.7,17.3,14.6,31.9,977.83,985.78,975.52,982.1,0.18566331575878678
56,56,2021-10-06,966.3,975.0,22.2,30.8,53.0,13.0,19.6,32.6,980.05,982.33,971.54,973.25,0.18601223558293448
57,57,2021-10-05,974.6,975.0,25.5,25.5,51.0,14.9,16.0,30.9,969.26,980.85,968.44,978.86,0.1859028963427292
58,58,2021-10-04,967.0,975.0,22.3,29.8,52.1,12.8,19.0,31.8,968.74,975.23,968.06,971.22,0.18599918066309534
59,59,2021-10-01,960.1,950.0,32.4,22.5,54.9,19.9,14.0,33.9,960.35,968.09,956.65,964.99,0.1860052591966731
60,60,2021-09-30,962.2,950.0,33.4,21.3,54.7,20.1,13.2,33.3,970.56,974.0,960.49,964.35,0.18628833068350187
61,61,2021-09-29,971.1,975.0,24.4,29.2,53.599999999999994,14.1,18.4,32.5,964.19,976.19,963.42,971.85,0.18623015948215801
62,62,2021-09-28,967.8,975.0,24.1,30.4,54.5,13.2,20.2,33.4,977.85,980.18,971.04,972.95,0.1864226249844724
63,63,2021-09-27,971.5,975.0,25.7,28.4,54.099999999999994,14.6,18.3,32.9,985.52,987.63,972.88,976.02,0.18639694505070567
64,64,2021-09-23,981.1,975.0,30.8,24.2,55.0,17.8,14.7,32.5,979.53,985.23,973.38,981.73,0.18629805380066428
65,65,2021-09-22,966.7,975.0,23.0,31.0,54.0,13.2,20.5,33.7,966.67,973.35,964.01,969.44,0.18647952101677565
66,66,2021-09-21,964.9,975.0,21.5,32.0,53.5,12.2,21.5,33.7,961.87,969.94,953.4,967.39,0.1865166039735847
67,67,2021-09-20,957.2,950.0,31.4,25.0,56.4,18.2,16.9,35.099999999999994,968.06,970.93,958.15,960.58,0.18651384134145346
68,68,2021-09-17,969.6,975.0,26.0,30.9,56.9,14.7,19.5,34.2,978.56,980.7,969.39,974.71,0.1859297488005963
69,69,2021-09-16,974.4,975.0,28.5,27.6,56.1,17.0,18.0,35.0,979.77,981.37,975.17,978.53,0.18637331095533446
70,70,2021-09-15,973.1,975.0,28.3,29.2,57.5,17.4,19.6,37.0,974.63,978.9,971.53,975.79,0.18641268057682814
71,71,2021-09-14,971.5,975.0,28.4,32.0,60.4,17.3,21.0,38.3,985.46,985.46,972.94,974.58,0.18642041381071767
72,72,2021-09-13,977.5,975.0,32.0,29.0,61.0,20.0,20.4,40.4,983.44,990.15,977.93,981.52,0.18628305999022376
73,73,2021-09-10,981.8,975.0,33.7,26.3,60.0,20.1,19.3,39.400000000000006,984.41,989.09,975.61,985.29,0.18623557143119257
74,74,2021-09-09,975.0,975.0,32.0,30.8,62.8,19.0,20.0,39.0,989.26,995.88,980.6,981.86,0.1867290405336882
75,75,2021-09-08,987.9,1000.0,23.9,36.3,60.199999999999996,14.3,25.7,40.0,988.07,993.74,982.58,992.35,0.18638960861819623
76,76,2021-09-07,984.7,975.0,37.0,26.5,63.5,23.0,17.8,40.8,1001.47,1005.63,989.87,991.33,0.1868303038135172
77,77,2021-09-06,993.1,1000.0,26.4,36.0,62.4,16.5,23.5,40.0,1000.94,1002.92,994.38,997.45,0.1878573343199623
78,78,2021-09-03,996.7,1000.0,29.0,34.4,63.4,17.5,21.0,38.5,1002.94,1005.67,995.68,1000.64,0.18795303235674723
79,79,2021-09-02,993.2,1000.0,27.0,33.9,60.9,16.6,21.1,37.7,987.99,1002.16,986.43,998.81,0.18798004415906297
80,80,2021-09-01,983.4,975.0,33.7,26.7,60.400000000000006,21.8,16.2,38.0,994.57,997.23,984.22,988.2,0.18854510063010574
81,81,2021-08-31,982.7,975.0,33.3,25.6,58.9,20.5,16.8,37.3,985.48,995.78,982.19,992.13,0.18895317737385048
82,82,2021-08-30,981.8,975.0,33.0,26.0,59.0,21.7,17.4,39.099999999999994,978.82,989.24,978.18,987.31,0.18945244840216321
83,83,2021-08-27,964.6,975.0,23.3,33.0,56.3,14.5,22.0,36.5,965.17,974.49,962.91,972.16,0.18890376909033746
84,84,2021-08-26,958.6,950.0,32.1,23.7,55.8,19.4,14.6,34.0,965.5,966.91,961.05,964.79,0.1889741392923314
85,85,2021-08-25,959.5,950.0,33.3,25.8,59.099999999999994,19.4,13.7,33.099999999999994,959.19,966.03,956.75,965.45,0.18898253402513174
86,86,2021-08-24,952.3,950.0,28.1,28.5,56.6,16.1,16.0,32.1,959.28,966.08,955.41,956.78,0.1888685793705275
87,87,2021-08-23,947.6,950.0,27.1,29.0,56.1,15.0,17.4,32.4,941.35,954.99,941.05,954.17,0.18904639793644104
88,88,2021-08-20,923.6,925.0,26.7,28.9,55.599999999999994,16.1,19.0,35.1,931.05,933.88,927.53,932.27,0.18806625185379422
89,89,2021-08-19,919.7,925.0,24.6,30.6,55.2,15.6,22.0,37.6,929.68,934.23,926.58,927.09,0.18825954803840222
90,90,2021-08-18,924.8,925.0,28.9,29.0,57.9,17.6,19.3,36.900000000000006,931.0,938.01,929.4,933.97,0.18920262909485405
91,91,2021-08-17,922.9,925.0,27.6,33.0,60.6,16.9,21.1,38.0,926.16,931.35,922.09,929.61,0.18921545751655816
92,92,2021-08-16,916.7,925.0,24.5,36.0,60.5,14.9,24.0,38.9,917.83,924.25,910.33,922.42,0.18986538063950786
93,93,2021-08-13,912.2,900.0,36.3,26.0,62.3,24.5,18.0,42.5,915.21,922.92,913.74,917.54,0.1897986685248189
94,94,2021-08-11,909.8,900.0,35.3,27.5,62.8,22.2,19.5,41.7,927.17,928.68,916.48,917.24,0.1905184967720389
95,95,2021-08-10,912.5,900.0,37.8,26.5,64.3,26.0,18.8,44.8,923.79,928.22,920.08,922.27,0.19108513183387876
96,96,2021-08-09,913.9,925.0,26.4,35.6,62.0,15.6,26.0,41.6,912.95,924.09,910.17,921.51,0.19109946638725708
97,97,2021-08-06,899.6,900.0,30.3,31.8,62.1,19.3,22.5,41.8,912.84,918.52,903.57,908.5,0.19083672041164154
98,98,2021-08-05,906.3,900.0,34.1,30.4,64.5,22.6,19.5,42.1,924.15,926.13,911.0,911.53,0.1909228292338198
99,99,2021-08-04,917.8,925.0,25.7,33.6,59.3,15.9,24.6,40.5,922.65,928.18,916.8,925.63,0.19060828118336245
100,100,2021-08-03,913.6,925.0,24.3,37.0,61.3,14.6,27.5,42.1,914.46,922.36,913.27,922.36,0.19057921046305856
101,101,2021-08-02,908.9,900.0,35.7,30.0,65.7,20.0,20.2,40.2,912.78,914.33,905.46,914.26,0.19055709152924094
102,102,2021-07-30,905.0,900.0,36.1,30.1,66.2,22.5,21.9,44.4,917.78,919.49,908.2,910.61,0.19119123209097577
103,103,2021-07-29,913.8,925.0,22.7,37.0,59.7,15.6,27.0,42.6,920.52,923.04,914.37,919.34,0.19095511877419555
104,104,2021-07-27,910.2,900.0,38.9,27.8,66.7,26.2,19.1,45.3,924.08,927.02,912.62,917.72,0.19123883627199265
105,105,2021-07-23,916.6,925.0,28.4,34.4,62.8,16.5,22.1,38.6,927.16,928.97,920.15,923.24,0.19114402413488957
106,106,2021-07-22,922.6,925.0,31.9,33.0,64.9,18.0,23.0,41.0,928.54,930.73,924.98,929.3,0.1910748067207955
107,107,2021-07-21,915.6,925.0,29.5,37.0,66.5,17.6,26.0,43.6,922.18,924.22,915.92,922.25,0.19219209669837897
108,108,2021-07-20,914.1,925.0,28.4,37.3,65.69999999999999,16.1,27.0,43.1,926.92,927.86,915.68,920.4,0.1923460552301472
109,109,2021-07-19,921.4,925.0,30.9,31.6,62.5,19.5,20.1,39.6,932.69,935.63,927.19,930.44,0.19216280096478933
110,110,2021-07-16,933.8,925.0,35.5,29.4,64.9,23.3,19.7,43.0,939.33,943.71,937.45,942.35,0.1917228535788111
111,111,2021-07-15,933.7,925.0,36.4,28.7,65.1,24.6,19.6,44.2,944.05,948.17,940.61,942.55,0.1917615411692876
