,Date to Expired,Date,S50M21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
56,56,2021-03-31,965.1,975,23.3,33.8,57.099999999999994,14.0,22.7,36.7,974.15,975.28,969.28,971.24,0.27511454513430156
57,57,2021-03-30,968.0,975,26.8,33.9,60.7,17.0,24.0,41.0,971.49,976.17,968.91,972.7,0.2876967910467725
58,58,2021-03-29,965.2,975,27.2,36.0,63.2,17.1,25.4,42.5,968.29,975.11,966.74,967.69,0.28914280105328916
59,59,2021-03-26,959.0,950,35.5,26.6,62.1,24.7,19.1,43.8,965.7,968.87,958.75,963.66,0.315194929037478
60,60,2021-03-25,955.8,950,33.1,29.0,62.1,23.5,19.9,43.4,964.35,967.5,960.03,961.75,0.3158583896264684
61,61,2021-03-24,957.1,950,37.0,29.8,66.8,24.5,20.5,45.0,952.63,961.59,950.9,961.59,0.31614472177483993
62,62,2021-03-23,954.1,950,35.5,32.4,67.9,24.0,23.6,47.6,962.92,964.34,955.59,957.73,0.3315111582942956
63,63,2021-03-22,952.6,950,36.0,35.1,71.1,25.0,24.0,49.0,958.28,963.97,952.19,959.48,0.33227473459988505
64,64,2021-03-19,954.0,950,36.2,34.1,70.30000000000001,26.2,24.4,50.599999999999994,960.62,963.37,954.7,959.41,0.3323501182680508
65,65,2021-03-18,962.2,950,43.0,31.2,74.2,32.0,23.5,55.5,976.51,979.53,965.74,966.15,0.33227302116149826
66,66,2021-03-17,961.1,950,47.0,35.0,82.0,33.8,24.3,58.099999999999994,963.35,970.93,960.5,967.45,0.33390536630675616
67,67,2021-03-16,959.0,950,48.2,37.9,86.1,33.6,27.6,61.2,970.23,973.38,963.97,965.26,0.3338995413786194
68,68,2021-03-15,964.6,975,35.0,49.0,84.0,26.8,35.1,61.900000000000006,975.43,977.83,965.77,968.34,0.3368841649477137
69,69,2021-03-12,969.2,975,39.7,46.0,85.7,27.5,33.0,60.5,981.83,985.45,969.49,973.16,0.33761519732811557
70,70,2021-03-11,972.1,975,39.9,43.0,82.9,29.0,32.4,61.4,982.46,984.62,973.57,978.7,0.3418179217829696
71,71,2021-03-10,966.2,975,37.5,47.5,85.0,25.5,36.7,62.2,962.16,976.66,959.33,975.73,0.34185463336966876
72,72,2021-03-09,955.2,950,46.9,42.0,88.9,32.0,33.1,65.1,964.96,966.67,951.81,961.27,0.34409872544745224
73,73,2021-03-08,950.1,950,41.4,41.3,82.69999999999999,32.0,32.0,64.0,968.9,971.51,955.09,958.16,0.34410155417052907
74,74,2021-03-05,952.9,950,45.0,42.0,87.0,30.7,29.7,60.4,950.12,966.77,949.13,958.33,0.3442823555382555
75,75,2021-03-04,948.9,950,41.0,42.0,83.0,32.9,32.8,65.69999999999999,957.15,959.9,950.12,953.61,0.344260568962173
76,76,2021-03-03,957.6,950,45.0,39.5,84.5,32.9,31.0,63.9,938.15,964.34,937.97,964.34,0.34422159047902806
77,77,2021-03-02,924.6,925,42.0,40.5,82.5,31.7,33.0,64.7,934.58,938.21,931.35,933.35,0.34264997128937635
78,78,2021-03-01,925.1,925,42.0,44.0,86.0,31.0,32.9,63.9,928.25,936.97,924.02,932.94,0.34267459826960517
79,79,2021-02-25,923.3,925,39.9,46.4,86.3,30.9,35.0,65.9,939.83,941.27,927.97,929.95,0.34272152898785846
80,80,2021-02-24,920.2,925,40.9,51.5,92.4,28.0,36.0,64.0,935.71,938.57,922.77,926.74,0.34291536605822515
81,81,2021-02-23,921.7,925,45.0,48.3,93.3,29.2,36.9,66.1,924.03,938.33,922.76,933.34,0.34295108553937165
82,82,2021-02-22,908.6,900,44.6,45.3,89.9,39.5,29.9,69.4,933.25,934.1,915.41,916.29,0.342430204921392
83,83,2021-02-19,923.7,925,43.0,51.0,94.0,28.9,29.4,58.3,933.13,935.38,925.33,930.51,0.3421022863642971
84,84,2021-02-18,928.4,925,44.2,38.5,82.7,36.0,37.4,73.4,945.24,949.22,938.05,938.08,0.3421371739383273
85,85,2021-02-17,929.4,925,47.2,38.0,85.2,37.5,27.0,64.5,946.31,953.75,941.67,942.16,0.3425957184705976
86,86,2021-02-16,939.2,950,42.4,48.1,90.5,32.8,43.4,76.19999999999999,952.71,954.94,949.37,950.0,0.3427081928591283
87,87,2021-02-15,938.7,950,41.0,50.1,91.1,33.0,39.5,72.5,946.55,955.42,943.04,949.89,0.3427652055501836
88,88,2021-02-11,932.5,925,50.6,41.5,92.1,40.1,34.9,75.0,953.27,953.96,939.09,942.63,0.3426747460365335
89,89,2021-02-10,944.5,950,43.6,51.9,95.5,33.4,44.8,78.19999999999999,955.13,957.03,946.65,950.28,0.34272614776233334
90,90,2021-02-09,940.1,950,44.5,55.8,100.3,34.4,42.8,77.19999999999999,954.11,958.2,948.22,949.46,0.34279992159554934
91,91,2021-02-08,937.7,950,45.3,55.9,101.19999999999999,37.8,42.9,80.69999999999999,942.44,949.1,940.46,948.24,0.34443476199185136
92,92,2021-02-05,926.1,925,49.2,57.1,106.30000000000001,37.4,37.5,74.9,929.03,934.84,927.29,933.55,0.34406536329624343
93,93,2021-02-04,910.8,900,62.2,42.2,104.4,48.0,31.3,79.3,927.13,931.1,919.96,923.52,0.34387772853894305
94,94,2021-02-03,916.7,925,46.4,56.5,102.9,36.3,43.5,79.8,937.39,938.54,923.94,923.94,0.3438812808952816
95,95,2021-02-02,922.4,925,49.8,59.9,109.69999999999999,40.0,43.2,83.2,933.33,937.2,924.15,928.07,0.3439615664401424
96,96,2021-02-01,913.3,925,48.4,59.9,108.3,36.4,50.0,86.4,914.83,926.75,908.04,922.89,0.3440024747511943
97,97,2021-01-29,905.4,900,60.0,51.2,111.2,49.2,44.7,93.9,923.79,925.38,908.82,916.66,0.34393387306625367
98,98,2021-01-28,908.2,900,59.9,51.2,111.1,48.8,40.0,88.8,925.61,932.62,916.46,916.91,0.3441125117627757
99,99,2021-01-27,928.1,925,57.6,55.3,112.9,40.0,43.1,83.1,948.39,951.58,936.76,936.76,0.3435204623010601
100,100,2021-01-26,943.1,950,53.8,55.9,109.69999999999999,40.0,49.2,89.2,937.58,952.25,932.19,951.02,0.34320919258864657
101,101,2021-01-25,931.8,925,61.5,54.2,115.7,43.1,42.3,85.4,939.47,944.67,933.29,942.0,0.3430800354817947
102,102,2021-01-22,927.2,925,62.3,57.3,119.6,43.1,45.2,88.30000000000001,947.04,954.35,936.03,939.73,0.34306773573217053
103,103,2021-01-21,944.2,950,57.6,61.6,119.2,47.3,52.9,100.19999999999999,960.09,962.79,948.47,951.58,0.3431249403872338
104,104,2021-01-20,941.6,950,57.3,67.1,124.39999999999999,46.9,54.1,101.0,958.86,962.86,949.18,952.86,0.3435133522547664
105,105,2021-01-19,946.2,950,64.4,66.3,130.7,51.1,53.6,104.7,956.2,964.13,955.68,958.16,0.3436507670849611
106,106,2021-01-18,942.3,950,57.0,71.8,128.8,46.0,58.6,104.6,951.27,954.98,943.94,949.64,0.34381473946506036
107,107,2021-01-15,950.2,950,69.0,69.8,138.8,52.0,51.9,103.9,971.49,977.38,954.3,957.86,0.34371952116678733
108,108,2021-01-14,964.7,975,64.1,78.0,142.1,54.0,64.6,118.6,978.11,984.91,969.64,971.35,0.3436635382972714
109,109,2021-01-13,972.7,975,69.0,75.1,144.1,56.8,62.1,118.9,981.68,992.03,976.81,980.75,0.34353799564684023
110,110,2021-01-12,967.4,975,69.6,79.5,149.1,54.4,66.2,120.6,973.75,978.64,967.01,975.51,0.34349374433959684
111,111,2021-01-11,964.2,975,64.0,82.0,146.0,61.1,54.9,116.0,978.89,988.32,968.69,974.91,0.3435049471094062
112,112,2021-01-08,967.3,975,62.0,83.6,145.6,52.0,70.3,122.3,965.7,977.59,964.91,977.59,0.3435091944008045
113,113,2021-01-07,946.3,950,73.8,79.5,153.3,56.7,52.7,109.4,952.69,959.29,946.05,955.39,0.34272981997747204
114,114,2021-01-06,935.2,925,78.1,73.5,151.6,55.8,49.1,104.9,951.94,957.42,935.88,940.41,0.3423489432711271
115,115,2021-01-05,945.8,950,58.3,82.2,140.5,64.2,69.0,133.2,923.2,953.99,921.51,953.99,0.3420672036938624
116,116,2021-01-04,918.8,925,55.7,70.4,126.10000000000001,44.7,65.8,110.5,896.7,924.36,893.62,924.36,0.3406077476346364
117,117,2020-12-30,902.0,900,66.4,73.6,140.0,55.0,60.7,115.7,927.67,929.05,907.73,910.45,0.3404796109875714
118,118,2020-12-29,918.1,925,68.6,82.1,150.7,58.5,68.6,127.1,910.61,924.16,907.95,924.0,0.34018770313578534
119,119,2020-12-28,901.8,900,0.0,0.0,0.0,,,,925.42,925.75,905.13,905.64,0.3399836465457613
120,120,2020-12-25,916.5,925,0.0,0.0,0.0,,,,915.07,920.89,911.17,918.35,0.3398368928060077
